state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
ak,2024-09-28,,,0.0,8,5,0.0,"22,000220,00023,00022,00012,00092,00023,00092,000"
ak,2024-10-05,,,0.0,8,5,0.0,"12,00092,00022,000220,00023,00022,00023,00092,000"
ak,2024-10-12,,,0.0,7,5,0.0,"12,00022,000220,00092,00022,00023,00092,000"
ak,2024-10-19,,,0.0,7,5,0.0,"92,00022,00012,00092,000220,00023,00023,000"
ak,2024-10-26,,,0.0,8,5,0.0,"23,00022,00092,00023,000220,00092,00022,00012,000"
ak,2024-11-02,2.3979400086720375,2.3979400086720375,0.0,8,5,0.125,"23,00012,00022,000220,00022,00092,00023,00092,000"
ak,2024-11-09,2.3979400086720375,2.3979400086720375,0.0,7,4,0.14285714285714285,"92,000220,00023,00092,00023,00022,00022,000"
ak,2024-11-16,2.3979400086720375,2.3979400086720375,0.0,8,5,0.125,"220,00022,00023,00012,00023,00092,00092,00022,000"
ak,2024-11-23,2.3979400086720375,2.3979400086720375,0.0,8,5,0.125,"22,00092,00022,000220,00023,00092,00023,00012,000"
ak,2024-11-30,2.3979400086720375,2.3979400086720375,0.0,6,4,0.16666666666666666,"92,00092,00023,00023,00012,000220,000"
ak,2024-12-07,,,0.0,6,4,0.0,"92,000220,00023,00022,00023,00092,000"
ak,2024-12-14,,,0.0,6,4,0.0,"23,00092,000220,00023,00092,00022,000"
ak,2024-12-21,,,0.0,6,4,0.0,"92,00023,00012,000220,00023,00092,000"
ak,2024-12-28,,,0.0,6,4,0.0,"23,00012,00092,000220,00092,00023,000"
ak,2025-01-04,,,0.0,5,3,0.0,"23,00092,000220,00023,00092,000"
ak,2025-01-11,2.3979400086720375,2.3979400086720375,0.0,7,4,0.2857142857142857,"92,00092,000220,000220,00023,00012,00023,000"
ak,2025-01-18,,,0.0,7,4,0.0,"92,000220,000220,00092,00023,00022,00023,000"
ak,2025-01-25,,,0.0,8,5,0.0,"220,00012,00092,00022,00092,00023,000220,00023,000"
ak,2025-02-01,,,0.0,8,5,0.0,"220,00092,000220,00023,00022,00092,00012,00023,000"
ak,2025-02-08,,,0.0,6,3,0.0,"92,00023,00023,000220,000220,00092,000"
ak,2025-02-15,,,0.0,7,4,0.0,"23,00092,00023,000220,000220,00012,00092,000"
ak,2025-02-22,,,0.0,7,4,0.0,"220,00012,00023,00023,000220,00092,00092,000"
ak,2025-03-01,,,0.0,8,5,0.0,"92,00023,00022,00092,000220,00023,00012,000220,000"
ak,2025-03-08,,,0.0,8,5,0.0,"12,00092,00023,00023,000220,000220,00092,00022,000"
ak,2025-03-15,,,0.0,7,3,0.0,"92,00023,00092,000220,000220,00023,00023,000"
ak,2025-03-22,2.3979400086720375,2.3979400086720375,0.0,9,4,0.1111111111111111,"22,00023,00023,00023,00092,00092,00023,000220,000220,000"
ak,2025-03-29,,,0.0,8,3,0.0,"23,00092,00092,00023,000220,00023,000220,00023,000"
ak,2025-04-05,,,0.0,9,4,0.0,"220,000220,00092,00023,00023,00023,00022,00092,00023,000"
ak,2025-04-12,,,0.0,11,5,0.0,"23,00092,00023,000220,00023,00012,00023,00022,00022,00092,000220,000"
ak,2025-04-19,,,0.0,9,4,0.0,"22,00023,000220,00023,00092,00023,00092,000220,00023,000"
ak,2025-04-26,2.9231490818604837,2.9231490818604837,0.36724062622062137,8,3,0.0,"92,000220,00023,00023,000220,00023,00023,00092,000"
ak,2025-05-03,,,0.0,8,3,0.0,"23,00023,00023,00092,000220,00092,00023,000220,000"
ak,2025-05-10,,,0.0,8,3,0.0,"92,00023,00092,00023,000220,00023,00023,000220,000"
ak,2025-05-17,,,0.0,8,3,0.0,"92,00023,00023,00023,000220,00023,000220,00092,000"
ak,2025-05-24,,,0.0,8,3,0.0,"23,00092,00023,00023,000220,00092,000220,00023,000"
ak,2025-05-31,,,0.0,8,3,0.0,"220,00023,00092,00023,000220,00023,00023,00092,000"
ak,2025-06-07,,,0.0,8,3,0.0,"92,000220,00023,000220,00023,00092,00023,00023,000"
ak,2025-06-14,,,0.0,8,3,0.0,"23,00092,000220,00023,000220,00023,00023,00092,000"
ak,2025-06-21,,,0.0,8,3,0.0,"23,00092,000220,00023,000220,00023,00023,00092,000"
ak,2025-06-28,,,0.0,8,3,0.0,"23,000220,00092,00023,00092,00023,00023,000220,000"
ak,2025-07-05,,,0.0,8,3,0.0,"92,000220,00023,00023,00023,00092,000220,00023,000"
ak,2025-07-12,,,0.0,8,3,0.0,"220,00023,00092,000220,00092,00023,00023,00023,000"
ak,2025-07-19,,,0.0,8,3,0.0,"220,00023,00023,00023,00023,00092,00092,000220,000"
ak,2025-07-26,,,0.0,8,3,0.0,"220,00092,000220,00023,00092,00023,00023,00023,000"
ak,2025-08-02,,,0.0,8,3,0.0,"23,00023,000220,000220,00092,00023,00092,00023,000"
ak,2025-08-09,,,0.0,12,5,0.0,"12,000220,00092,000220,00023,00092,00022,00023,00022,00023,00012,00023,000"
ak,2025-08-16,,,0.0,12,5,0.0,"12,00023,00092,00023,000220,00022,00012,00022,00092,00023,000220,00023,000"
ak,2025-08-23,,,0.0,12,5,0.0,"92,00012,00092,00023,000220,00023,00012,00023,000220,00022,00022,00023,000"
ak,2025-08-30,,,0.0,12,5,0.0,"22,00023,000220,00023,00012,00092,00092,00023,00022,00023,00012,000220,000"
ak,2025-09-06,,,0.0,12,5,0.0,"23,00023,00023,000220,00012,00092,00022,00022,000220,00092,00012,00023,000"
ak,2025-09-13,,,0.0,12,5,0.0,"23,00023,00012,00092,00022,00023,00022,000220,00012,000220,00092,00023,000"
ak,2025-09-20,,,0.0,10,5,0.0,"12,00092,000220,00023,00023,00092,00023,000220,00023,00022,000"
ak,2025-09-27,2.3979400086720375,2.3979400086720375,0.0,12,5,0.08333333333333333,"12,000220,000220,00092,00023,00012,00023,00023,00022,00023,00022,00092,000"
ak,2025-10-04,,,0.0,11,5,0.0,"92,00022,00023,00023,00023,00012,000220,00022,00092,00023,000220,000"
ak,2025-10-11,2.3979400086720375,2.3979400086720375,0.0,12,5,0.08333333333333333,"22,00092,00022,00092,00012,00023,00023,000220,00023,00012,000220,00023,000"
ak,2025-10-18,,,0.0,12,5,0.0,"23,00012,00012,00092,00092,00022,00022,00023,00023,000220,000220,00023,000"
ak,2025-10-25,,,0.0,12,5,0.0,"92,00012,00023,00023,00022,000220,00092,00023,00023,00022,00012,000220,000"
ak,2025-11-01,,,0.0,12,5,0.0,"92,00012,00022,00023,000220,00012,00092,00023,000220,00023,00023,00022,000"
ak,2025-11-08,,,0.0,13,5,0.0,"22,00092,00012,00022,00023,00023,00023,00012,00092,000220,00092,00023,000220,000"
ak,2025-11-15,2.3979400086720375,2.3979400086720375,0.0,12,5,0.16666666666666666,"12,00023,00022,00023,00023,00092,00022,00023,00092,000220,000220,00012,000"
ak,2025-11-22,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"12,00023,000220,000220,00023,00022,00012,00023,00022,00092,00092,00092,00092,00023,000"
ak,2025-11-29,2.3979400086720375,2.3979400086720375,0.0,12,5,0.16666666666666666,"22,00092,00092,00022,00092,00012,00023,00023,00092,00023,00012,000220,000"
ak,2025-12-06,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"92,00092,00012,00092,00023,000220,000220,00012,00022,00022,00092,00023,00023,00023,000"
ak,2025-12-13,,,0.0,12,5,0.0,"23,000220,00022,00023,00023,000220,00092,00092,00092,00092,00012,00023,000"
ak,2025-12-20,2.3979400086720375,2.3979400086720375,0.0,14,5,0.21428571428571427,"92,00022,00092,00092,00022,00012,00023,00023,000220,00012,00023,00023,000220,00092,000"
ak,2025-12-27,,,0.0,13,5,0.0,"220,00012,00092,00023,00023,00092,00023,00022,00092,00023,00012,000220,00092,000"
ak,2026-01-03,2.3979400086720375,2.3979400086720375,0.0,13,5,0.15384615384615385,"92,00023,00023,00022,00023,000220,00092,00022,00012,000220,00092,00023,00092,000"
ak,2026-01-10,,,0.0,14,5,0.0,"22,000220,00023,00092,00092,00022,000220,00092,00012,00023,00023,00012,00023,00092,000"
ak,2026-01-17,2.3979400086720375,2.3979400086720375,0.0,14,5,0.21428571428571427,"92,00092,00022,00012,00092,00012,000220,000220,00023,00023,00023,00023,00022,00092,000"
ak,2026-01-24,,,0.0,13,5,0.0,"23,00023,00092,00022,00092,00023,00022,00092,000220,00012,00023,00092,00012,000"
ak,2026-01-31,2.3979400086720375,2.3979400086720375,0.0,14,5,0.14285714285714285,"23,00092,00012,00092,00012,00092,00023,00092,00023,000220,00022,00023,00022,000220,000"
ak,2026-02-07,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"22,00012,00092,00023,00023,000220,00022,00092,00092,000220,00023,00012,00092,00023,000"
ak,2026-02-14,,,0.0,14,5,0.0,"92,00023,00092,00023,00023,00092,00022,00023,00012,000220,00092,000220,00022,00012,000"
ak,2026-02-21,,,0.0,10,4,0.0,"22,00022,00023,00023,00012,00092,00092,00092,00092,00012,000"
ak,2026-02-28,,,0.0,14,5,0.0,"92,00022,00023,00023,00012,00092,000220,00012,00023,00092,00092,00022,000220,00023,000"
ak,2026-03-07,,,0.0,14,5,0.0,"23,00012,00022,00022,00023,00092,00012,00092,00023,000220,00092,00092,000220,00023,000"
