state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
vt,2025-03-22,3.333086670186147,3.317827528261133,-0.7399854220742987,4,2,0.5,30000
vt,2025-03-29,3.747945523257509,3.5450230073401903,-0.12662817665696138,4,2,0.25,30000
vt,2025-04-05,2.8750612633917,2.8750612633917,-1.1606802867359618,4,2,1.0,30000
vt,2025-04-12,3.1303185858538374,2.8750612633917,-0.9262272561089948,4,2,0.75,30000
vt,2025-04-19,3.362163455113851,3.201309125397721,-0.6001513182855911,4,2,0.5,30000
vt,2025-04-26,3.2303067694978407,3.241984813262739,-0.7071568753679758,4,2,0.25,30000
vt,2025-05-03,2.8750612633917,2.8750612633917,-1.08999577892562,3,2,1.0,21000
vt,2025-05-10,2.8750612633917,2.8750612633917,-1.1606802867359618,4,2,1.0,30000
vt,2025-05-17,2.8750612633917,2.8750612633917,-1.08999577892562,3,2,1.0,21000
vt,2025-05-24,2.8750612633917,2.8750612633917,-1.1606802867359618,4,2,1.0,30000
vt,2025-05-31,3.1504905800134266,2.8750612633917,-0.9076993442791329,4,2,0.75,30000
vt,2025-06-07,3.32850668662223,3.410507276296155,-0.6582748648405129,4,2,0.25,30000
vt,2025-06-21,4.289496514914751,4.213825300302913,0.22676628273487182,4,2,0.25,30000
vt,2025-06-28,3.3380873416499712,3.300846860757935,-0.4142816807875319,4,2,0.5,30000
vt,2025-07-05,3.197172767893007,3.0763983261393197,-0.6414361464834095,4,2,0.5,30000
vt,2025-07-12,3.1483141116007385,3.016382876758696,-0.7201963603405678,4,2,0.5,30000
vt,2025-07-19,3.8391367542383716,3.922209838015783,-0.08410360917997221,3,2,0.0,21000
vt,2025-07-26,3.1803019097613685,3.2304633959166758,-0.8688445893191217,3,2,0.3333333333333333,24000
vt,2025-08-02,3.2959584615851507,3.218305304514966,-0.48219348711350546,4,2,0.5,30000
vt,2025-08-09,3.6007703266058586,3.6802043454519566,-0.14084043607868157,4,2,0.25,30000
vt,2025-08-16,3.1304498311774323,3.1272652083851002,-0.8364458799737646,4,2,0.5,30000
vt,2025-08-23,3.9608753831628714,4.0729096920389445,0.25199309514071844,4,2,0.0,30000
vt,2025-08-30,3.4981366304231214,3.326989226185116,-0.5090309802247731,5,3,0.4,55000
vt,2025-09-06,4.109737977112857,4.038526802010493,0.11766030813113386,4,3,0.0,46000
vt,2025-09-13,4.148048410359478,4.461609796211852,0.46285099317526174,5,3,0.2,55000
vt,2025-09-20,4.354205459236269,4.569863888544782,0.9557446689325302,4,2,0.0,30000
vt,2025-09-27,4.61050675127138,4.834091195023353,0.8951692881823012,5,3,0.0,55000
vt,2025-10-04,3.58909466649912,3.59415864919176,-0.06023415247272669,4,2,0.25,30000
vt,2025-10-11,3.7972987483964586,3.7520045480369175,-0.0835881950415355,5,3,0.2,55000
vt,2025-10-18,4.008600032944514,3.872363156914789,-0.009228370775933836,5,3,0.2,55000
vt,2025-10-25,4.725537103898898,4.577715686986979,0.7842512175922918,5,3,0.0,55000
vt,2025-11-01,3.946013871642471,3.9267074011118734,0.11918128559657518,5,3,0.2,55000
vt,2025-11-08,3.9051310890801956,3.95489621525422,-0.009041386580279216,5,3,0.2,55000
vt,2025-11-15,3.1648456805110134,3.1203646447125193,-0.7423897092352516,4,2,0.25,30000
vt,2025-11-22,4.655656408427088,4.351214486477602,0.7229909536031816,5,3,0.0,55000
vt,2025-11-29,4.64290797664087,4.442374220014948,0.8960785785771704,3,2,0.0,21000
vt,2025-12-06,4.198352470086498,3.889905427776298,0.14520091400351215,5,3,0.0,55000
vt,2025-12-13,4.004099566749434,3.9078648359009063,0.07184111652162732,5,3,0.0,55000
vt,2025-12-20,3.7174023785413444,3.906013535004578,-0.2754998466765454,4,3,0.25,46000
vt,2025-12-27,4.08480763385247,3.8163310168264912,-0.03603080014275284,4,3,0.0,46000
vt,2026-01-03,3.815683530224132,3.6166560478488727,-0.20504496115122467,4,3,0.5,46000
vt,2026-01-10,4.507497575051579,4.524834915246352,0.45898246707674706,4,3,0.0,46000
vt,2026-01-17,4.076644271756795,3.932257266166651,0.13404195352055773,5,3,0.0,55000
vt,2026-01-24,3.7137066956086713,3.91927009889549,-0.2985230633761259,4,3,0.25,46000
vt,2026-01-31,4.179328628170839,4.3424689573688156,0.19426655866360906,3,3,0.0,40000
vt,2026-02-07,4.064145054380906,4.221238484650569,0.17362959113401016,5,3,0.0,55000
vt,2026-02-14,4.012438750027925,4.188453521996935,0.1012244435863245,5,3,0.0,55000
vt,2026-02-21,4.239750364551369,4.3386984706476195,0.34012990200812404,5,3,0.2,55000
vt,2026-02-28,4.53905810196727,4.673020950052766,0.602922304014902,4,3,0.0,46000
