state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,regime,admits_per100k,admits_next_week,admits_this_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era
nv,2026-05-09,3.4979482492692795,3.4711613966670187,-1.3111436440527084,12,6,0.25,994646,10.0,0.9423,mandatory_post,1.0053828196162253,5.0,10.0,5.0,-0.5,0,2026-05-16,3.627145251812067,3.855008015466672,3.793774053777208,-0.12919700254278732,3.660033838849339,test
nv,2026-05-16,3.491056775310549,3.7272881840934025,-1.2917819394907295,12,6,0.3333333333333333,994646,5.0,0.9423,mandatory_post,0.5026914098081127,2.0,5.0,2.0,-0.6,0,2026-05-23,3.4979482492692795,3.627145251812067,3.855008015466672,-0.006891473958730465,3.538716758797298,test
nv,2026-05-23,3.641686078720184,3.675834414730797,-0.9869926571231668,12,6,0.3333333333333333,994646,2.0,0.9231,mandatory_post,0.20107656392324505,13.0,2.0,13.0,5.5,0,2026-05-30,3.491056775310549,3.4979482492692795,3.627145251812067,0.1506293034096351,3.5435637011000036,test
nv,2026-05-30,3.7776660228063608,3.9696474381613727,-0.9149849251084364,11,6,0.2727272727272727,979623,13.0,0.9231,mandatory_post,1.327041116837804,13.0,13.0,13.0,0.0,0,2026-06-06,3.641686078720184,3.491056775310549,3.4979482492692795,0.13597994408617664,3.6368029589456974,test
nv,2026-06-06,3.567033691871827,3.691223778070535,-1.1667451532202966,10,6,0.4,919623,13.0,0.9231,mandatory_post,1.4136227562816501,16.0,13.0,16.0,0.23076923076923078,0,2026-06-13,3.7776660228063608,3.641686078720184,3.491056775310549,-0.21063233093453393,3.662128597799457,test
nv,2026-06-13,3.610222164946058,3.652930261935224,-1.1319098805684686,10,6,0.3,919623,16.0,0.9231,mandatory_post,1.7398433923466463,10.0,16.0,10.0,-0.375,0,2026-06-20,3.567033691871827,3.7776660228063608,3.641686078720184,0.043188473074231126,3.6516406265414147,test
nv,2026-06-20,3.808722697889373,3.869795359737576,-0.9020531548777476,9,6,0.1111111111111111,896123,10.0,0.9038,mandatory_post,1.115918238902472,7.0,10.0,7.0,-0.3,0,2026-06-27,3.610222164946058,3.567033691871827,3.7776660228063608,0.19850053294331493,3.6619928515690856,test
ny,2022-01-01,5.079188545368505,5.110589710299249,0.4604395129599636,19,14,0.0,1670662,9010.0,0.9657,mandatory_pre,539.3071728452553,11833.0,9010.0,11833.0,0.31331853496115425,1,2022-01-08,4.83394931995369,4.8061084811087476,4.992737365287132,0.24523922541481546,4.906415448810314,train
ny,2022-01-08,5.3039485289426676,5.605305046141109,1.0923071712473549,39,27,0.0256410256410256,1517178,11833.0,0.9657,mandatory_pre,779.9348527331664,11184.0,11833.0,11184.0,-0.05484661539761684,0,2022-01-15,5.079188545368505,4.83394931995369,4.8061084811087476,0.22475998357416227,5.072362131421621,train
ny,2022-01-15,5.356500222950755,5.570881615137894,1.030420905735408,34,20,0.0588235294117647,1771414,11184.0,0.9657,mandatory_pre,631.3600321551032,8357.0,11184.0,8357.0,-0.25277181688125894,0,2022-01-22,5.3039485289426676,5.079188545368505,4.83394931995369,0.05255169400808768,5.246545765753976,train
ny,2022-01-22,5.148461758814477,5.4048337166199385,0.9206771202859828,35,20,0.0285714285714285,1831157,8357.0,0.9657,mandatory_pre,456.37812596079965,6412.0,8357.0,6412.0,-0.23273902117984924,0,2022-01-29,5.356500222950755,5.3039485289426676,5.079188545368505,-0.20803846413627802,5.269636836902634,train
ny,2022-01-29,4.794311571631673,5.1303337684950066,0.7200289452943874,41,28,0.048780487804878,1964856,6412.0,0.9657,mandatory_pre,326.3343471480862,4486.0,6412.0,4486.0,-0.30037429819089206,0,2022-02-05,5.148461758814477,5.356500222950755,5.3039485289426676,-0.3541501871828041,5.099757851132302,train
ny,2022-02-05,4.480083950673364,4.769711196065284,0.5498887838133135,46,37,0.0652173913043478,1349985,4486.0,0.9657,mandatory_pre,332.29998851839093,2959.0,4486.0,2959.0,-0.34039233169861793,0,2022-02-12,4.794311571631673,5.148461758814477,5.356500222950755,-0.3142276209583095,4.807619093706505,train
ny,2022-02-12,4.152159530765146,4.357930669766505,0.1533642588973646,62,46,0.1290322580645161,2676240,2959.0,0.9657,mandatory_pre,110.56556960511763,2339.0,2959.0,2339.0,-0.2095302467049679,0,2022-02-19,4.480083950673364,4.794311571631673,5.148461758814477,-0.32792441990821786,4.475518351023394,train
ny,2022-02-19,3.892526204980777,4.318554652550825,-0.0125790687140116,54,44,0.3148148148148148,2015249,2339.0,0.9706,mandatory_pre,116.0650619352745,1493.0,2339.0,1493.0,-0.36169303120991875,0,2022-02-26,4.152159530765146,4.480083950673364,4.794311571631673,-0.2596333257843688,4.174923228806429,train
ny,2022-02-26,3.712186282074629,3.9252014933329624,-0.0904684818460552,50,41,0.28,1173762,1493.0,0.9706,mandatory_pre,127.19784760453993,1256.0,1493.0,1256.0,-0.15874079035498995,0,2022-03-05,3.892526204980777,4.152159530765146,4.480083950673364,-0.18033992290614798,3.918957339273517,train
ny,2022-03-05,3.1035995996101615,2.6020599913279625,-0.7935927326458942,63,47,0.5396825396825397,2768327,1256.0,0.9706,mandatory_pre,45.37036267753051,1506.0,1256.0,1506.0,0.19904458598726116,1,2022-03-12,3.712186282074629,3.892526204980777,4.152159530765146,-0.6085866824644675,3.5694373622218554,train
ny,2022-03-12,2.790640275448249,2.6020599913279625,-1.1032412639928846,69,54,0.7101449275362319,3516762,1506.0,0.9706,mandatory_pre,42.823483647741874,825.0,1506.0,825.0,-0.45219123505976094,0,2022-03-19,3.1035995996101615,3.712186282074629,3.892526204980777,-0.31295932416191263,3.2021420523776793,train
ny,2022-03-19,2.915251360748249,2.6020599913279625,-1.0316475297900012,70,54,0.6714285714285714,3769506,825.0,0.9706,mandatory_pre,21.88615696592604,772.0,825.0,772.0,-0.06424242424242424,0,2022-03-26,2.790640275448249,3.1035995996101615,3.712186282074629,0.1246110853000002,2.9364970786022195,train
