state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,admits_per100k,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era,month,epiweek_of_year,regime_mandatory_post,regime_mandatory_pre,season_fall,season_spring,season_summer,season_winter,region_midwest,region_northeast,region_south,region_territory,region_west
mi,2022-08-20,4.738007735467652,4.851400972989959,0.918243716913104,87,53,0.0,8210953,1036.0,0.9548,12.617293023111932,4.680134465280782,4.70154140415781,4.749962757926371,0.05787327018687,4.706561201635414,train,8,33,False,True,False,False,True,False,True,False,False,False,False
mi,2022-08-27,4.697087253530204,4.809112605439207,0.8169692969620986,83,52,0.0,8063364,1042.0,0.9548,12.92264618092399,4.738007735467652,4.680134465280782,4.70154140415781,-0.040920481937448,4.705076484759545,train,8,34,False,True,False,False,True,False,True,False,False,False,False
mi,2022-09-03,4.683196118847119,4.841934727680523,0.8217679795124165,84,53,0.0,8265647,1054.0,0.9548,12.751572865378838,4.697087253530204,4.738007735467652,4.680134465280782,-0.0138911346830843,4.706097035948324,train,9,35,False,True,True,False,False,False,True,False,False,False,False
mi,2022-09-10,4.538281374825678,4.711375066655655,0.8048358648910586,71,56,0.0,7914963,1054.0,0.9548,13.316549932071696,4.683196118847119,4.697087253530204,4.738007735467652,-0.1449147440214417,4.639521582401,train,9,36,False,True,True,False,False,False,True,False,False,False,False
mi,2022-09-17,4.528197305211203,4.703811588407189,0.6381137972275842,91,55,0.0,8531539,1013.0,0.9548,11.873590450679531,4.538281374825678,4.683196118847119,4.697087253530204,-0.010084069614475,4.583224932961333,train,9,37,False,True,True,False,False,False,True,False,False,False,False
mi,2022-09-24,4.495424720856313,4.644773029087036,0.5499161639698004,84,50,0.0,8375205,985.0,0.9548,11.760906150953918,4.528197305211203,4.538281374825678,4.683196118847119,-0.0327725843548893,4.520634466964397,train,9,38,False,True,True,False,False,False,True,False,False,False,False
mi,2022-10-01,4.458207835123434,4.702647083289422,0.5092325784423014,85,56,0.0,8112768,916.0,0.9548,11.290844259320616,4.495424720856313,4.528197305211203,4.538281374825678,-0.0372168857328789,4.49394328706365,train,10,39,False,True,True,False,False,False,True,False,False,False,False
mi,2022-10-08,4.372216429614122,4.559440006784181,0.3507753660574073,83,56,0.0,8214978,991.0,0.9548,12.06333114951738,4.458207835123434,4.495424720856313,4.528197305211203,-0.0859914055093122,4.441949661864623,train,10,40,False,True,True,False,False,False,True,False,False,False,False
mi,2022-10-15,4.520206643883244,4.778882572783861,0.7133730812011817,69,44,0.0,7858639,945.0,0.9548,12.024982951882636,4.372216429614122,4.458207835123434,4.495424720856313,0.1479902142691216,4.450210302873599,train,10,41,False,True,True,False,False,False,True,False,False,False,False
mi,2022-10-22,4.439915501016584,4.600502535295884,0.5933780168568848,66,47,0.0,7944128,947.0,0.9548,11.920754549775632,4.520206643883244,4.372216429614122,4.458207835123434,-0.0802911428666597,4.444112858171316,train,10,42,False,True,True,False,False,False,True,False,False,False,False
